시점,총지수_연간등략률(%),생활물가지수_연간등략률(%),신선식품지수_연간등략률(%)
1996-01-01,4.9,6.0,-3.2
1997-01-01,4.4,6.1,8.3
1998-01-01,7.5,11.1,8.2
1999-01-01,0.8,2.4,8.7
2000-01-01,2.3,3.7,-2.0
2001-01-01,4.1,5.1,7.2
2002-01-01,2.8,2.5,9.3
2003-01-01,3.5,4.0,7.0
2004-01-01,3.6,4.9,8.0
2005-01-01,2.8,4.0,1.8
2006-01-01,2.2,3.1,1.0
2007-01-01,2.5,3.2,4.5
2008-01-01,4.7,5.3,-5.8
2009-01-01,2.8,2.1,7.6
2010-01-01,2.9,3.4,21.3
2011-01-01,4.0,4.4,6.3
2012-01-01,2.2,1.7,5.9
2013-01-01,1.3,0.7,-1.3
2014-01-01,1.3,0.8,-9.3
2015-01-01,0.7,-0.2,2.1
2016-01-01,1.0,0.7,6.5
2017-01-01,1.9,2.5,6.2
2018-01-01,1.5,1.6,3.6
2019-01-01,0.4,0.2,-5.1
2020-01-01,0.5,0.4,9.0
2021-01-01,2.5,3.2,6.2
2022-01-01,5.1,6.0,5.4
