시점,총지수_전월비(%),총지수_전년동월비(%),생활물가지수_전월비(%),생활물가지수_전년동월비(%),신선식품지수_전월비(%),신선식품지수_전년동월비(%)
1996-01-01,1.0,4.8,1.5,5.2,3.5,-11.5
1996-02-01,0.4,4.8,0.6,5.2,1.6,-11.4
1996-03-01,0.7,4.4,0.2,4.1,-0.6,-13.0
1996-04-01,0.7,4.5,1.1,4.5,2.9,-11.2
1996-05-01,0.6,4.9,1.0,5.4,3.6,-5.3
1996-06-01,0.0,5.2,-0.1,6.0,-0.5,0.6
1996-07-01,0.5,5.4,1.2,7.3,0.0,2.9
1996-08-01,0.5,5.3,0.5,7.1,1.0,0.9
1996-09-01,0.2,4.5,0.3,5.8,-0.6,-6.1
1996-01-01,0.0,5.0,0.0,6.6,-1.3,2.8
1996-11-01,0.0,5.3,0.1,7.4,-1.3,8.2
1996-12-01,0.4,4.9,0.6,7.0,1.9,10.3
1997-01-01,0.8,4.7,1.1,6.6,1.8,8.6
1997-02-01,0.6,4.9,0.7,6.8,2.4,9.4
1997-03-01,0.4,4.5,0.3,6.8,-0.5,9.6
1997-04-01,0.5,4.3,0.5,6.3,3.7,10.5
1997-05-01,0.1,3.8,-0.1,5.2,-2.2,4.3
1997-06-01,0.2,4.0,0.2,5.5,-0.7,4.2
1997-07-01,0.2,3.7,0.2,4.4,0.7,4.9
1997-08-01,0.7,4.0,1.2,5.1,4.8,8.8
1997-09-01,0.5,4.2,0.7,5.6,1.6,11.2
1997-01-01,0.0,4.2,-0.1,5.5,-2.3,10.1
1997-11-01,0.1,4.3,0.4,5.8,-2.2,9.1
1997-12-01,2.5,6.6,4.3,9.7,2.0,9.3
1998-01-01,2.4,8.3,3.4,12.2,0.9,8.3
1998-02-01,1.7,9.5,2.4,14.1,0.2,6.0
1998-03-01,-0.2,9.0,-1.0,12.7,0.6,7.1
1998-04-01,0.3,8.8,0.5,12.7,3.7,7.0
1998-05-01,-0.5,8.2,-0.8,11.9,1.4,10.9
1998-06-01,-0.4,7.5,-0.7,10.9,-6.6,4.3
1998-07-01,0.0,7.3,0.1,10.7,1.6,5.2
1998-08-01,0.3,6.9,0.8,10.4,8.0,8.4
1998-09-01,0.4,6.9,0.7,10.4,1.8,8.6
1998-01-01,0.3,7.2,0.8,11.4,1.6,12.9
1998-11-01,-0.3,6.8,-0.5,10.4,-4.0,10.8
1998-12-01,-0.2,4.0,-0.2,5.7,0.3,8.9
