시점,조혼인율 (천명당),조이혼율 (천명당)
1990-01-01,9.3,1.1
1991-01-01,9.6,1.1
1992-01-01,9.6,1.2
1993-01-01,9.0,1.3
1994-01-01,8.7,1.4
1995-01-01,8.7,1.5
1996-01-01,9.4,1.7
1997-01-01,8.4,2.0
1998-01-01,8.0,2.5
1999-01-01,7.6,2.5
2000-01-01,7.0,2.5
2001-01-01,6.7,2.8
2002-01-01,6.3,3.0
2003-01-01,6.3,3.4
2004-01-01,6.4,2.9
2005-01-01,6.5,2.6
2006-01-01,6.8,2.5
2007-01-01,7.0,2.5
2008-01-01,6.6,2.4
2009-01-01,6.2,2.5
2010-01-01,6.5,2.3
2011-01-01,6.6,2.3
2012-01-01,6.5,2.3
2013-01-01,6.4,2.3
2014-01-01,6.0,2.3
2015-01-01,5.9,2.1
2016-01-01,5.5,2.1
2017-01-01,5.2,2.1
2018-01-01,5.0,2.1
2019-01-01,4.7,2.2
2020-01-01,4.2,2.1
2021-01-01,3.8,2.0
2022-01-01,3.7,1.8
