,평균 여성 초혼 연령(세)
1990-01-01,24.78
1991-01-01,24.84
1992-01-01,24.93
1993-01-01,25.01
1994-01-01,25.14
1995-01-01,25.32
1996-01-01,25.45
1997-01-01,25.71
1998-01-01,26.02
1999-01-01,26.29
2000-01-01,26.49
2001-01-01,26.78
2002-01-01,27.01
2003-01-01,27.27
2004-01-01,27.52
2005-01-01,27.72
2006-01-01,27.79
2007-01-01,28.09
2008-01-01,28.32
2009-01-01,28.71
2010-01-01,28.91
2011-01-01,29.14
2012-01-01,29.41
2013-01-01,29.59
2014-01-01,29.81
2015-01-01,29.96
2016-01-01,30.11
2017-01-01,30.24
2018-01-01,30.4
2019-01-01,30.59
2020-01-01,30.78
2021-01-01,31.08
2022-01-01,31.26
