year,birth_population
2022-01-01,249100
2023-01-01,249371
2024-01-01,249177
2025-01-01,249323
2026-01-01,248984
2027-01-01,248660
2028-01-01,248335
2029-01-01,248545
2030-01-01,249067
2031-01-01,248846
2032-01-01,248973
2033-01-01,248729
2034-01-01,248380
2035-01-01,248536
2036-01-01,248393
2037-01-01,248575
2038-01-01,248327
2039-01-01,247823
2040-01-01,247897
2041-01-01,248184
2042-01-01,248961
2043-01-01,248374
2044-01-01,248155
2045-01-01,248109
2046-01-01,248091
2047-01-01,247580
2048-01-01,247679
2049-01-01,247950
2050-01-01,247859
2051-01-01,247731
2052-01-01,247379
2053-01-01,247309
2054-01-01,247406
2055-01-01,247293
2056-01-01,247295
2057-01-01,248118
2058-01-01,248052
2059-01-01,248151
2060-01-01,248230
