year,출생아수
2023-01-01,249137.70143766957
2024-01-01,249556.13702815256
2025-01-01,249419.06334301276
2026-01-01,249370.1690239891
2027-01-01,248782.53173410165
2028-01-01,248896.56901710609
2029-01-01,248996.71897444178
2030-01-01,249304.84546839545
2031-01-01,248932.5627948603
2032-01-01,248855.82186039325
2033-01-01,248834.63002101975
2034-01-01,248799.9280226456
2035-01-01,248218.61461618586
2036-01-01,248810.8524671151
2037-01-01,248697.99078194887
2038-01-01,248761.6436149343
2039-01-01,248352.9889038814
2040-01-01,248271.89946737152
2041-01-01,248181.9011786129
2042-01-01,248396.23362394996
2043-01-01,248335.41097190155
2044-01-01,248556.21717254957
2045-01-01,249169.62991599616
2046-01-01,249751.1881253011
2047-01-01,249578.16423389944
2048-01-01,249685.76856525178
2049-01-01,249268.2530125539
2050-01-01,249369.12106570107
2051-01-01,249435.85514536322
2052-01-01,249978.2758911298
2053-01-01,250089.6944557744
2054-01-01,250094.51530891217
2055-01-01,250334.3299590546
2056-01-01,251224.87086060803
2057-01-01,251656.31494107592
2058-01-01,251572.11733787632
2059-01-01,251864.78386123726
2060-01-01,252170.53222130187
