,0
0,237601.74990982417
1,226081.32386472914
2,214557.71908088392
3,203067.26894505517
4,191570.69562054984
5,180044.06013417416
6,168496.08434405678
7,156945.6203850523
8,145376.08338609757
9,133795.95595048787
10,122187.89018167237
11,110588.36074221335
12,98893.14508410993
13,87183.10574489876
14,75464.79921849193
15,63716.91282486342
16,51963.30748587545
17,40154.02577208477
18,28292.68771401566
19,16442.712019402796
20,4568.081176603582
21,-7370.726782104206
22,-19397.772389842186
23,-31431.29933360363
24,-43463.31212420116
25,-55576.18132841067
26,-67767.18510230599
27,-79990.27678299352
28,-92275.59455758342
29,-104599.47116375968
30,-116929.03199595472
31,-129380.0170245297
32,-141848.03795566125
33,-154383.8652750528
34,-166912.65832522424
35,-179534.9199443332
36,-192189.78437295282
37,-204899.3871229107
38,-217652.57241318535
39,-230511.96651610307
40,-243443.79974509083
41,-256434.14581198286
42,-269459.39373351366
43,-282584.3345344466
44,-295763.8950276585
45,-308983.1940415303
46,-322268.7470320098
47,-335647.4589997249
48,-349182.34369416966
49,-362753.58290246833
